kp,0h-3h,3h-6h,6h-9h,9h-12h,12h-15h,15h-18h,18h-21h,21h-00h,Ap,KP-MAX,KP-MIN,kp-ave,sunspots
1-Sep,3,3,2,4,4,2,2,4,16,4,2,3,59
2,4,5,5,3,2,3,3,3,20,5,2,3.5,56
3,2,2,1,2,3,2,1,2,7,3,1,1.875,105
4,4,3,2,2,2,3,4,5,16,5,2,3.125,112
5,4,3,2,2,2,2,3,1,11,4,1,2.375,119
6,1,1,1,3,3,2,0,3,8,3,0,1.75,100
7,3,4,4,4,3,2,3,8,36,8,2,3.875,97
8,8,5,4,5,8,7,6,5,106,8,4,6,88
9,2,2,0,0,1,0,0,0,3,2,0,0.625,62
10,0,0,0,0,0,3,2,3,4,3,0,1,40
11,3,3,2,2,3,2,3,3,11,3,2,2.625,29
12,2,2,2,2,3,2,4,5,17,5,2,2.75,11
13,5,3,4,2,2,1,2,0,14,5,0,2.375,23
14,2,2,1,3,4,5,4,4,22,5,1,3.125,12
15,6,4,4,3,4,3,5,5,34,6,3,4.25,12
16,5,5,3,3,4,4,3,3,28,5,3,3.75,13
17,3,3,2,2,4,4,2,1,14,4,1,2.625,14
18,4,4,4,4,3,3,3,3,20,4,3,3.5,13
19,2,2,1,2,1,2,3,2,7,3,1,1.875,11
20,3,3,2,2,2,1,2,1,8,3,1,2,21
21,1,1,2,1,2,0,1,2,5,2,0,1.25,22
22,1,1,1,0,1,1,2,2,5,2,0,1.125,21
23,1,1,1,1,1,1,2,1,4,2,1,1.125,12
24,1,2,1,1,1,2,2,3,6,3,1,1.625,23
25,2,2,1,1,0,0,0,0,4,2,0,0.75,36
26,0,1,1,1,0,0,0,2,3,2,0,0.625,39
27,3,3,5,4,4,4,6,6,37,6,3,4.375,37
28,5,6,7,5,4,4,4,5,51,7,4,5,42
29,3,2,2,3,3,2,2,3,11,3,2,2.5,42
30,2,3,3,2,3,4,2,3,14,4,2,2.75,40